In_season_foods,名称,カナ表記,別名,季節,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
http://databasediv.com/foods/resource/#1001,いちご,イチゴ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1002,たけのこ,タケノコ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1003,たまねぎ,タマネギ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1004,キャベツ,キャベツ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1005,うど,ウド,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1006,セロリ,セロリ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1007,まだい,マダイ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1008,まながつお,マナガツオ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1009,とびうお,トビウオ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1010,さわら,サワラ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
